post,aspect,polarity
"সমাধান হয় নাই,,",other,negative
যে তান্ডব হয়েছিল তা কী এত সহজে মানুষ ভুলবে...,other,negative
"মীর জাফর, মোনাফেকের বাচ্চা।",other,negative
মনে মনে দোয়া করেছিলাম ম্যাচটা জিম্বাবুয়ের জিতুক।,sports,positive
আমরা খালেদার জামিন চায়নি,politics,neutral
যুক্তরাষ্ট্রের ১০৮ বছরের ইতিহাসে এ পর্যন্ত মাত্র পাঁচবার ক্ষমতসীন প্রেসিডেন্ট কংগ্রেসের সিনেটে জয়লাভ করেছেন।,politics,positive
ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদির পাকিস্তান নীতি সমর্থন করছে না দেশটির ৭৮ ভাগ মানুষ,politics,negative
নিরপেক্ষ ভেন্যু হবে ভয় পাওয়ার কি আছে আজব,sports,neutral
দোয়া করি আপনার আশা পূরণ হোক,religion,positive
আল্লাহ আমি মন থেকে দোয়া করি জাকির নায়বের হায়দ দারাছ করোক,religion,positive
আসসালামু আলাইকুম কাতার থেকে,religion,positive
যদি কোনো মুসলিম যদি অমুসলিম মেয়েকে বিয়ে করে তাহলে কোনো সমস্যা আসে??,religion,neutral
সোবহানাল্লাহ অনেক সুন্দর হয়েছে,religion,positive
ইনশাল্লাহ বিএনপি'র হবে জয়,politics,positive
তার মানে এই নয় যে এ রীতি নীতি সব মুসলিম দেশে চালু আছে।,religion,negative
বাংলাদেশের খেয়ে দেয়ে কাজ নাই,other,negative
"হায় আফসোস, জাতি শিক্ষিত হলো মাগার সুশিক্ষিত হলো না।।।",other,negative
সত্যি কথা বলা যাবেনা বললে চাকরী থাকবেনা,other,negative
নির্বাচন কমিশনকে জাতীয় পার্টির ‘ধন্যবাদ’,politics,positive
জনগন কে লুটে এখন অনুদান দিয়ে মানুষের মন জয় করতে চাইছে হাসিনা,politics,negative
মাগীর পোলারে কি করবে জামাই আদর,other,negative
ভাই ট্রফি কিন্তু চাই চাই,sports,positive
"অন্য কেউ একটা ক্লাবের হয়ে ১৫-২০ বছর থাকলেই ঐ ক্লাবের প্রতি টান,ভালোবাসা,আস্থার কথা শুনা যায় খালি মেসির বেলায় জ্বলে কেন এদের!!",sports,neutral
আমরা দ্রুত বাস্তবায়ন চাই।,other,positive
আওয়ামিলীগএর দালাল কমিশন,politics,negative
লাভ হবে না রে,other,negative
সাকিব আল হাসানের পোষ্টে অন্য খেলোয়াড়ের ছবি মেনে নিতে কষ্ট হয়।,sports,negative
টি-টোয়েন্টি: ভারত সফরে সাকিবের পরিবর্তে দলে তাইজুল,sports,neutral
"সবাই কে চুপ করাই দিছে,এইডা হাইস্যকর",other,neutral
শুরু হয়েগেছে বিএনপি জামাতিদের আগুন সন্ত্রাস,politics,negative
ব্রাজিল বনাম আর্জেন্টিনার মুখোমুখি ম্যাচে ব্রাজিলের কাছে আর্জেন্টিনা নেই।,sports,negative
দেরীতে হইলেও বুজতে শুরু করেছেন,other,positive
"ভাই আমি মাশরাফিকে দোষারোপ করছিনা, এটা সরকারি চাল, কয়েকদিন পরে ঠিকই শুনতে পাবেন",sports,neutral
"আমার মতে বার্সার এটাক এখন যথেস্ট স্ট্রং,",sports,positive
যুদ্ধ করবে পাক - ভারত.. মজা লইবে বাংলাদেশ....,politics,neutral
তালগাছ মার্কা নির্বাচন আর নয়,politics,negative
দেশের অষ্টম এবং বিশ্বের ১১৬তম ভেন্যু হিসেবে সিলেট আন্তর্জাতিক স্টেডিয়ামে ফুটেছে টেস্ট 'ফুল'।,sports,positive
সৈরাচার সরকারের আজ্ঞাবহ নিরবাচনে না যাওয়া উত্তম সিদ্ধান্ত।,politics,positive
ঐ জারয মহিলা আবার শিক্ষিকা নাকি,other,negative
রাজনীতিতে নোংরা ইতিহাস সৃষ্টিকারী হিসেবে অাওয়ামিলীগ সবার শীর্ষে।,politics,negative
মুসতাকের পা চাটা দালাল,other,negative
আওয়ামী লীগের যা হবার হয়ে গেছে।,politics,neutral
আমি চাই পিস টিভি আবার চালু হোক এই টা আমাদের সব মোমিন ভাইদের দাবি ।,religion,positive
এক বোনের শেষ প্রশ্ন.. উত্তর দিতে পারলে ইসলাম গ্রহণ করবেন...,religion,positive
এ জোগের সেরা ভালো মানুষ ডাক্তার জাকির নায়েক স্যার,religion,positive
"সালা কাফের,অনেক মানতাম তাকে।",other,negative
ওই জানোয়ারদেরকেও একইভাবে মারতে হবে।,other,negative
"সংলাপ ফলপ্রসূ হয়নি, আন্দোলন চলবে:",politics,negative
সবাই বলি আল হামদুলিল্লাহ,religion,positive
এদের কে দালাল বলা কি অপরাধ হবে?,other,negative
শালায়ও নাটক করছে,other,negative
"কেউ বলে না উন্নয়ন চাই,",other,negative
ফতুল্লায় খালেদা জিয়ার মুক্তির দাবিতে বাস ভাংচুর,politics,negative
আওয়ামীলীগদের দালাল কমিশন,politics,negative
চলে আসো সময় কম।,other,negative
আমাদেরকে এমন কিছু শিক্ষা দিন যার মাধ্যমে আমরা উপকৃত হব।,religion,positive
কাউন্টার এট্যাক দলের সাথে পরলে বুঝবেন আমাদের ডিফেন্স আর মাঝমাঠ আছে কিনা,sports,neutral
আলহামদুলিল্লাহ আলহামদুলিল্লাহ,religion,positive
চেষ্টা করেন দেখা যাক,other,positive
আল্লাহর দেওয়া অনুগ্রহ পেয়ে দু-চারটা ধর্ষণ জালিয়াতী হতেই পারে,religion,negative
শিক্ষক রা এখন শুধু ব্যস্ত প্রাইভেট আর কোচিং নিয়ে আর আশায় থাকে কখন প্রশ্ন ফাঁস হবে,other,negative
তাও আন্তর্জাতিক পর্যায়ে রোনালদো বেশি সফল,sports,positive
আমেরিকার নিরবাচন হয় আর হা পিতেশ করি আমরা ।,politics,negative
আসন্ন নির্বাচনে নৌকাকে বিজয়ী করার লক্ষ্যে রূপগঞ্জে আওয়ামী লীগ ও সহযোগী সংগঠনের উদ্যোগে জনসভা হয়েছে।,politics,positive
জিকির পাঠ করলে আপনার সমুদ্রের ফেনা পরিমান গুনাহ থাকলেও আল্লাহ ক্ষমা করে দিবেন-,religion,positive
এসপি হলেন ২৩৫ জন,other,neutral
৭১ সালের সংলাপের পরিনাম ২৫ শে মার্চ,politics,negative
হালা তোর বউরেও সংবিধানের বাইরে করবি না,other,negative
মাশা আল্লাহ্। ইয়া আল্লাহ্ আপনি তাঁকে নেক হায়াত দান করুন। সৌদি আরব থেকে।,religion,positive
আপনি মুসলিমের জন্য একটা নেয়ামত,religion,positive
"এটা আ'লীগেরই কাজ, বিএনপিকে দোষারোপ করতে এটা করা হয়েছে,।",politics,negative
এই খানকি মাগির ছেলেটাকে পাচায় ডিম দেওয়া হউক,other,negative
আমরা ভোট দিতে চাই,politics,positive
"মন্ত্রীমহোদয় কাজটি করতে পারুক আর নাই পারুক, কথাটি বলার জন্য ওনাকে ধন্যবাদ।",politics,positive
আল্লাহ পাক তাকে জান্নাতুল ফেরদাউস নসিব করেন আমিন।,religion,positive
কাদের সিদ্দিকির কথায় তাহলে সঠিক হলো।,politics,positive
"সুরা আসর এ আল্লাহ পাক কি বুঝাতে চেয়েছেন, ক্ষতির হাত থেকে বাঁচার উপায় গুলো বিশদ আকারে বুঝিয়ে বলবেন কি?",religion,positive
পাকিস্তান পারবেনা কারনঃ- ওদের নারীর নেশা প্রচুর ।,other,negative
মোস্তফা সাহেবের জন্য মায়া লাগতেছে বেচারা,other,negative
আটালান্টার কোচিং স্টাফ কে বার্সায় অফার করলে দারুণ হত,sports,positive
সেই অবিচারটা তো ম্যারাডোনা ই করেছিল ।,sports,negative
বিশ্বকাপ পাবে কিনা জানিনা,sports,neutral
হাসিনার সংবিধান কে মানে রে।,politics,negative
কিছু কিছু মানুষের তো জ্বলবেই নেইমিকে নিয়ে,sports,neutral
তাহলে এইবার মুতি হুতি দেন কাকু।,other,negative
তারা স্বপ্ন দেখছিল তফসিলের পর একটা হাঙ্গামা করে হাসপাতাল থেকে নিয়ে যাবে।,politics,negative
"সেনাবাহিনীর সকল কমান্ডিং অফিসার ই লীগের, তাই সাবধান",politics,negative
আসল ব্যখ্যা হচ্ছে- মুসলমানদের অন্য ধর্মের অনুকরণ,religion,positive
আর আপনারা রোজা মুখে নিয়ে তাদের নামে গিবত করছেন.,religion,negative
"মেজর জিয়ার প্রকৃত সৈনিকরা দেখুন, নেতারা কি বলে",politics,neutral
খাওয়া হয় নাই,other,negative
আ'লীগ গাঞ্জা খায়।,politics,negative
আপনি বি টিমে আছেন?,other,neutral
ইনি বিএনপি সমর্থক,politics,neutral
বস আপনি টি২০ তে আবার পিরে আসেন,sports,neutral
"দেশ রত্ন শেখ হাসিনা, জয় বাংলা।",politics,positive
জারা এশব কাজ করে তাদের ঘরে কি মা বোন নাই,other,negative
পাকিস্তান ইনডিয়ার চুল ও ফালাইতে পারবেনা যদি কেউ ইনডিয়াকে ঘায়েল করতে পারে সেটা পারবে আই এস,other,negative
আপনাদের খালেদা কি?,politics,neutral
ওনি এখন অচল বুড়ো হয়ে গেছেন.....,other,negative
এবার ট্রফি নিয়েই ঘরে ফিরবেন ইনশাআল্লাহ,sports,positive
সরকারী দলের সচিব !!,politics,negative
থু থু বাবা এরশাদ জিন্দাবাদ,politics,negative
বিএনপি অনলাইন প্রবাসী ফোরাম এর পক্ষ থেকে সকল জিয়ার সৈনিক দের সংগ্রামী সালাম ও শুভেচ্ছা,politics,positive
এটা আওয়ামী দালাল,politics,negative
জাকির নায়েক আর আজহারির অনেক আগে সাঈদী সাহেব এগুলো নিয়ে ওয়াজ করেছেন,religion,positive
শবেই বরাতে নামাজ ও ওইদিন রোজা রাখা কতটা যৌক্তিক??,religion,neutral
মুসলিমদের দলিল কোরান,religion,positive
এদের এরেস্ট করার আগে গণধোলাই দিয়ে মুখ চোখ অণ্ডকোষ ফাটিয়ে দেওয়া উচিৎ।,religion,negative
হাসিনা মার্কা নির্বাচন জনগন মেনে নিবেনা,politics,negative
জনগনের সাড়া পাই নাই তাই তো পালাইছে,politics,negative
ঢাল নাই তলোয়ার নাই নিতিরাম সর্দার!,other,negative
১০ কোটি টাকা অনুদান নয় লুটপাটের ব্যাবস্হা করা হয়েছে।,other,negative
আন্দোলন আন্দোলন আন্দোলনে চল অবৈধ হাসিনা বোদা নির্বাচন কমিশন অচল করে দে,politics,negative
অাসসালামুয়ালাইকুম এমন একটা দোয়া শিখিয়ে দেন যেটা পড়লে বিভিন্ন রকম রোগ বালাই থেকে জেনো অাল্লাহ হেফাজত করেন???????,religion,positive
নখদন্ত হীন কমিশন এর আস্ফালন দেখতে দেখতে জাতি ক্লান্ত,politics,negative
বুধবার আবুধাবিতে চলছিল পাকিস্তান-নিউজিল্যান্ড খেলা,sports,neutral
গণতন্ত্রের জন্য ই ডঃ কামালের বিকল্প নাই,politics,negative
মাথা নীচু করতে হয় শুধু আল্লাহর কাছে ।,other,positive
১৯ শতকে একজন খৃষ্টান ডাক্তার পৃথিবীর বুকে ঘোষণা দিল,religion,neutral
আল্লাহর গজব ভূমিকম্প।,religion,neutral
আসন ভাগা ভাগি !,politics,neutral
গত দুই বছর থেকে তার বয়স বিশ বছর,other,negative
এমনটা সম্ভব শুধু মাসরাফির জন্য,sports,neutral
শেষ বয়সে এসে জনগণের কাছে ধোলাই খাওয়ার সময় হয়েছে মনে হচ্ছে,other,negative
"আমার এবং আমাদের দলের হয়ে খেলা প্রত্যেক দলের সাথীর জন্য একটি বিশাল অনুপ্রেরণা, কী কিংবদন্তি নেতা, আপনার অধিনায়কত্বের অধীনে ম্যাশ খেলে ভাগ্যবান।",sports,positive
স্বৈরাচারের সাথে সংলাপ না করাই ভালো,politics,negative
আলোচনার পরেও গ্রেপ্তার চলছে,other,negative
শালার মালাউনের বাচচা স্বপ্ন দেখা বন্ধ কর।,other,negative
প্রিয় তামিম ইকবাল ভাই তোমাকে অনেক ভালবাসি তুমি যখন টিমে আসো তখন টিম টাই অন্যরকম হয়েযায়।,sports,positive
নৌকা মার্কা ভোট চাই,politics,positive
হাসিনাকে মেরে ফেললে এদেশে শান্তি আসবে।,politics,negative
মামা বিএনপির সাথে থাকলে ভাল হইত,politics,positive
আল্লাহু আমাদের সকোলের গোনা মাপ করু আমিন,religion,positive
কাউয়া কা কা কা,politics,negative
তিনি একজন বিখ্যাত মুসলিম দার্শনিকও ছিলেন,religion,neutral
যুগান্তরের দালালি আর কত?,other,negative
ও আল্লাহ বাংলাদেশে এই আবার কোন সার্কেস চলিতেছে,religion,negative
এই কমেন্টটা অনেক মুমিনই করতে চাইছে,religion,positive
এটা বলার কারণ হতে পারে যে লীগে সবার অবদান সমান এটা বুঝাতেই হয়তো সে বলেছি।,sports,neutral
বিএনপি কামাল হোসেন এর ঘাড়ে ভড় করে ক্ষমতায় যেতে চায়।,politics,negative
যা করতাছে তা অন্যায় মনে হইতেছে ।,other,negative
"ধন্যবাদ জিম্বাবুয়েকে, বাংলাদেশের ব্যাটসম্যানদেরকে বাঘের গর্জন দেখানোর সুযোগ করে দেওয়ার জন্য!",sports,positive
ঘোড়ার ডিম হইছে,other,negative
ধন্যবাদ সংবাদ করার জন্য,other,positive
মাশরাফি ভাই একজনই।,sports,neutral
ম্যাশ ভাইয়া যতদিন তোমার হাতে থাকবে দেশ পথ হারাবে না,sports,positive
সংলাপ যেখানে ব্যর্থ সেখানে আন্দোলন অনিবার্য।,politics,negative
মাদকের গডফাদার হয়ে মাদকের বিরুদ্ধে লড়াই করতে চায়,other,negative
"মনে শান্তির একমাত পথ নামাজ , তাই আসুন নামাজ পড়ি!!",religion,positive
জাদু ঘর থেকে সহিদ জিয়ার ছবি সরানো ঠিক হয় নাই,politics,negative
"এটা গুজব, এই হুজুর একটা বাচ্চার হত্যা কারী।",religion,negative
ওস্তাদ সব সময় ওস্তাদই তাকে,other,positive
এবারে কি খাওয়ানো হইল জনগণ কিছুই জানতে পারলো না,politics,negative
এটা তার ভুল ধারণা!,other,negative
চতুরতায় প্রতিপক্ষকে ঘায়েল করতে মাশরাফি এখনও সক্ষম বলে আমি মনে করি।,sports,positive
তিব্র নিন্দা জানাই।,other,negative
এ জাতি হতাশ,politics,negative
হুম আমি যাদের টাক মাথায় দু একটি চুল আছে সে চুলেরও ট্যাক্স চাই।,politics,negative
সরকারের গোলাম এই নির্বাচন কমিশন,politics,negative
হুনুমান যা বলবে অথর্ব কমিশন তাই শুনবে,politics,negative
খা‌লেদা জিয়া জিন্দাবাদ,politics,positive
এরপর না হয় আইন আদলত এর সম্মুখীন হবে।,other,negative
জনগন চাইলে সব পারে,politics,positive
বার্সেলোনা যদি সেরা ফর্মে ফিরতে পারে কবে কোন কিছুই অসম্ভব নয়,sports,positive
"বাল ফালাইবেন,,,,খালি বড় বড় কথা আর ভিতরে ভিতরে অন্যের পা চাটা ছাড়া আর কোন কাজ নেই আপনার।",other,negative
বলদব বাচ্চা প্রসব করলে মনে করবা সংলাপ সফল।,politics,negative
"এই বিশিষ্ট নাগরিক সন্তান সম্ভবা নারীদের কুত্তির সাথে তুলনা করে বেসম্ভব হাততালি পেয়েছেন, আসুন আর একবার তার বজ্রকন্ঠ শুনে চক্ষু ভেজাই।",religion,negative
আমি শুধু এতটুকুই বুঝি ভারত পাকিস্তান কে যুদ্ধ লাগিয়ে দুদেশকে ধ্বংস করতে চাই বহির্বিশ্ব,politics,negative
সামনে যেই ইমাম আছেন তার সাথে সামঞ্জস্য বজায় রেখেই নামাজ শেষ করতে হয়,religion,neutral
দেশের সরকারের উন্নতি হবে,politics,positive
"আর্জেন্টিনা ব্রাজিল ক্লাবে না টানাই ভালো, আমি আর্জন্টিনা সাপোর্টার হয়েও নেইমার আসার পক্ষে।",sports,positive
যারা নাস্তিক তাদের এই সত্য কথাগুলো কখনোই ভলো লাগবে না।,religion,negative
"গুরুতো গুরুই,, তার কোনো তুলনা হয়না,, ক্রিকেট যত দিন আছে, তুমি গুরু থাকবে সবার অন্তরে, সালাম তোমায়।।।।",sports,positive
আন্দোলনই একমাত্র পথ।,other,negative
তাহলে দেশকোনদিকে যাবে ভালোই বোঝা যাচ্ছে।,other,negative
ক্ষমতা সর্বস্তরে পৌছে গেছে।ভালবাসি বাংলাদেশ ক্রিকেট দলকে।,sports,positive
বেয়াদব বড় হলে আওয়ামিলীগ হয়,politics,negative
"সংলাপ সফল হোক, সব রাজনীতিবীদগন ভাল থাকুক তাহলেই জনগন ভাল থাকবেন।",politics,positive
একটা বাঘ পায়ে আটটা অপারেশন নিয়েও ক্রিকেট মাঠ ধাপিয়ে বেড়ায়।,sports,neutral
বৈঠার বাড়ি হপ্পে,other,negative
বদু কাকার মাথা গরম,politics,negative
চার বারই পাকিস্তান হেরেছে!,sports,negative
একেই বলে নিরপেক্ষ প্রসাশন,other,positive
"যেতে হবে কেন, ছি ছি তো তোমাদের কথা মতই চলছে।",other,negative
"ধন্যবাদ, বি চৌধুরী, সঠিক সিদ্ধান্ত নিয়েছেন।",politics,positive
বিশ্বকাপ না জেতা ফুটবলের জন্য একটি অপমানের কথা,sports,negative
আল্লাহ তোমাদের পাশে আছে ভাইএরা আমার,religion,positive
যে সংবিধান মানুষের ভোটের অধিকার কেড়ে নেই সে সংবিধান আমরা মানি না মানব না,politics,negative
সময় হলে তোমার চৌদ্দ গোষ্টী যাবে।,other,negative
কুত্তারে ভাতের মাড় খাওয়াইবে।,other,negative
শুভ কামনা জিয়ার সেনাপতিরা,politics,positive
রসূলুল্লাহ্ (সঃ) বলেন,religion,neutral
উনার কথাগুলো সবাইকে স্মরণ করে দেয়ার জন্য মোবারকবাদ।,religion,positive
আল্লাহ আমাদের কবুল করুণ,religion,positive
হাসিনা তুমি সরে যাও,politics,negative
বদুকাকা দুষ্টামী করতাছেন,politics,neutral
মাশাল্লাহ মাশাল্লাহ অনেক সুন্দর লাগতাছে সুন্নিয়া,religion,positive
"আগে বেগম জিয়ার মুক্তি, তার পরে বাকি সব",politics,positive
বেজন্মা সিইসি শেখ হাসিনার বাপের বাড়ী পাইছস ত,politics,negative
মেতর জিয়া হলো বাঙ্গালীর ইতিহাসের মীর জাফর।,politics,negative
বালের পুলা ছাল!,other,negative
চাঁদ পুর বাসি বেগম জিয়ার মুক্তি চায়,politics,positive
"তাড়াতাড়ি করেন, তা নাহলে বিএনপির আপত্তি চলে আসবে।",politics,negative
আগে আমি রোজা রাখতাম না কারণ আমি বাঙালি,religion,negative
বাস্তবতা বড়ই নির্মম।,other,negative
ঐক্যফ্রড ক্ষমতায় আসুক,politics,negative
"সাকিব ভাই নাই,তাই খেলা ও দেখিনা।",sports,negative
খালেদার তো মাথা খারাপ হয়ে গেছে,politics,negative
নৌকার বিজয় হয়ে গেল,politics,positive
খেলোয়াড় পাইবেন কোথা থেকে,sports,neutral
"তবে সেটা আর হচ্ছে না, আ'লীগ নড়বড় হয়ে গেছে।",politics,negative
শিবির মানুষকে হত্যা করতে পারেনা।,politics,positive
"বেচারা এমপির পুত্র, তাকে গ্রেফতার করার কি দরকার।",politics,negative
নামাজ আদায় এর আগে আপনি কখনো চিন্তা করেছেন যে: -,religion,neutral
শুয়োরের বাচ্চা ভয় পাইছে।,other,negative
এসব কথা শুনলে মানুষ হাসে।,other,negative
সাব্বাস হানাদার বাহিনী,politics,negative
ভোট চোর হাসিনা,politics,negative
মারাফি ভাই আফগানিস্তান ম্যাচে (মিথুন ও লিটানকে )দিয়ে ওপেন করাইয়া ১০ ওভার শুধু সিঙ্গেল নিয়া খেলাইলে পরে তাঁরা বল ভালো বুঝতে পারবে,sports,positive
পাপন নান্নু পালা টাইগার আইছে,sports,negative
একটা দেশের রাষ্ট্রীয় বাহিনীর নগ্ন চিত্র,politics,negative
অবৈদ সরকার কোন ভাবেই সুস্থ নির্বাচন করাতে পারে না,politics,negative
তার পরেও অন্ধ মুমিনরা মাদ্রাসা শিক্ষকের পক্ষই নিবে,religion,negative
আপনি এগিয়ে যান,other,positive
বদমাইশ শালারপুতেরা,other,negative
যার মাধ্যমে করুক পুলিশ না দিয়ে নির্বাচনে সেনা মোতায়ন করুক জামানত পাবেনা আওয়ামিলীকে কোন নেতার,politics,negative
১৬ কোটি মানুষ দোয়া তার সাথে আছে,religion,positive
আল্লহ উনার নেক হায়াত দিন,religion,positive
"আপনি খুব সত্যবাদী,তাইনা!",other,negative
আওয়ামীলীগ থেকে রাজনীতি শিখে তারপর আন্দোলনে আসবেন।,politics,negative
এসব পিউর বিনোদন,other,neutral
"মাশরাফি বাংলাদেশের ইতিহাসের সবচেয়ে সফল অধিনায়কের একজন, ক্রিকেটারদের সবচেয়ে বড় অনুপ্রেরণার নাম মাশরাফি!",sports,positive
মাশরাফি ভাই রাজনীতিতে জড়িয়ে নিজের জনপ্রিয়তা নষ্ট করবেন,sports,negative
আমরা আছি তোমাদের সাথে। জয়বাংলা।,politics,positive
ভোট নেই তাই তারকাদের দিয়ে মানুষ জমায়েতের পয়তারা,politics,negative
মেসি নব্বই মিনিট কোন গোল না কইরা মাঠের এই পাশ থেইকা ঐ পাশে দৌড়াইলে লাখ লাখ টাকা পাই...,sports,neutral
আল্লাহু আকবার প্রিয় বাইতুল্লাহর পাশে বসে থাকবো পরবর্তী যে কোন সময়ে ইনশাআল্লাহ আমিন,religion,positive
আমিন আল্লাহ সবার প্রার্থনা কবুল করুক ।,religion,positive
এটা খুবই দুখ্য জনক,other,negative
এখন তো ভাল,other,positive
সালার কোন বাটপারের জগতে এসে পরলাম,other,negative
ফিরে এস ম্যাশ,sports,neutral
তুই আওয়ামীলীগ জানোয়ার,politics,negative
কি ভাষন দিবেন?,politics,neutral
আল্লাহ জাকরেন ভালোর জন্য করেন।,religion,positive
আল্লাহ কে ভয় পেলে চুরি করবেন না,religion,positive
নেইমারকে দিয়ে গ্রুপ গরম রাখছেন ভালো কথা।,sports,positive
তামিম ক্যারিয়ার সেরা রান,sports,positive
300 আসনে প্রার্থী দিয়ে আওয়ামী লীগ কে সহযোগিতা করুন,politics,positive
টাকা দিয়ে মৃত্যুর ফাঁদ তৈরি করা হয়েছে,other,negative
ক্লান্তি আর প্রতিকূলতাকে পেছনে ফেলাই তাদের লক্ষ্য,other,positive
প্রথম ভোট দেয়াটা মনে হয় স্বপ্ন হয়েই থাকবে,politics,neutral
আজকে রাতের ফজিলত সম্পর্কে কিছু বলেন,religion,positive
"মাশরাফি মানেই তারুণ্যের প্রতিচ্ছবি,",sports,neutral
মীরজাফরের দলের সমাবেশ,politics,negative
"না, খুনি হাসিনার অধিনে নির্বাচন সুষ্ঠু হতে পারে না",politics,negative
হাসান শয়তানের ঘরের শয়তান,religion,negative
মিথ্যাবাদী শয়তানী নিউজ ।,other,negative
তাহলে আমাদের পাপা পেরেজ একসঙ্গে ভাল কিছু  ডিজার্ভ করে,sports,positive
যেসব পুরুষরা রোগ নিয়ে সারাক্ষণ দুশ্চিন্তা করতে থাকেন তাদের ক্যান্সারে মারা যাওয়ার আশঙ্কা নারীদের তুলনায় দ্বিগুনেরও বেশি,other,neutral
অত্যাধুনিক সুবিধা নিয়ে আসলেও লঞ্চে ওঠা নামার সিঁড়িতে আধুনিকতার সোয়া লাগেনি,other,negative
"নেইমার আসলে যদি ৪-৫বছর ভালো সার্ভিস দেই তাও ভালো,,,",sports,positive
"এটা কি আফিফা, নাকি আফিয়া সিদ্দিকী?",other,neutral
আল্লাহ ওনাকে নেক হায়াত দান করুক ।।।আমিন।।।।,religion,positive
আওয়ামীলীগের হাতে দেশ ও দেশের মানুষ নিরাপদ নয়।,politics,negative
আমি আগেই বলেছি এই মাথা কোনো সাধারন মাথা নয়,other,negative
আল্লাহ তায়ালা আপনাকে দীর্ঘ জীবি করুক আমিন।,religion,positive
ব্যাংক চোর কয়লা চোর ভোট চোর খুনি পিলখানা হত্যা কারি শাপলাচত্বরে আলেম দের হত্যা কারি আওয়া মীলিগ,politics,negative
তারেক জিয়া জিন্দাবাদ,politics,positive
এদের কে ছার দেয় হবেনা।,other,negative
ভাই আপনার ওনলাইন লাইভ প্রোগরামটি অনেক অনেক ভালো লেগেছে,sports,positive
চুদার খবর পাও কই?,other,negative
২০ দলীয় জোট এবং ও ক ফ্রন্ট নেতৃবৃন্দকে কাঁধে কাঁধ মিলিয়ে অবশ্যই আন্দোলন করতে হবে,politics,negative
শালার গো নাটকের শেষ নাই,other,negative
বানান ভুল হয়েছে হবে গৃহপালিত মুরগী।,other,negative
আললাহ আমাদের সবাই কে জান্নাত দান করুন (আমিন),religion,positive
"সমস্যা নেই পরবর্তী আরো ভালো খেলবে আশা করি,ভেংগে পড়ার দরকার নেই ভাইয়া।",sports,negative
ভারতে বোরা মুসলিমদের মধ্যে খতনা করানোর এই প্রথা এখনও ব্যাপকভাবে প্রচলিত।,religion,neutral
পুরাই ফেল করবে,other,negative
"মা-শাআল্লাহ মারহাবা, যাযা কাল্লাহু খইরন।",religion,positive
"খারাপ আমাদেরও লাগছে ভাই,যেমন লেগেছিল আপনাকে বাদ দিয়ে ২০১৪ সালের বিশ্বকাপ দেখতে।",sports,neutral
জয় হবে রংপুরের,sports,positive
একটা ফালতু লোক ফালতু কথা বললো আর সেটা পত্রিকা মতামত এর জন্য পোস্ট করলো,other,negative
২০১৪ সালের ৫ই জানুয়ারীর নির্বাচন কিন্তু নিয়ম রক্ষার নির্বাচন বলেছিলেন।,politics,neutral
এখন বইয়া বইয়া আঙুল চুষ...,other,negative
শেখ হাসিনার সালাম নিন।,politics,positive
সবচেয়ে নিকৃস্ট চোর সালাত চোর।,religion,negative
কি বলবো?,other,neutral
"কত মসজিদ ভাঙা হচ্ছে, একদিন দেখলাম না একটা পোস্ট দিতে।",religion,negative
এই মাগির পোলা রে মেরে ফেলা উচিৎ,other,negative
ওর ভাষণ শোনার জন্য কুত্তা রেডি আছে,politics,negative
লেগেছেরে লেগেছে রক্তে আগুন লেগেছে,other,negative
পতিতা পাটির মায়রে চুদি,other,negative
দুই শয়তান একত্র হইছে,other,negative
"তার অধিনে জাতীয় নির্বাচন করে দেখেন, তার পর বলা যাবে ভাল না খারাপ।",politics,neutral
"শুকরের বাচ্চা রা,সিটি নির্বাচনে যখন বিশৃঙ্খলা হয়েছিল,তখন তোদের হেডম কোথায় ছিল?",politics,negative
সময় থাকতে বিকল্প পথ নেন৷,other,neutral
কলকাতায় বোমাতঙ্কে রেল যোগাযোগ বিঘ্নিত,other,negative
"রাজনৈতিক বেশ্যা,জাতীয় বেইমান,কোন উপমাই তার জন্য যথেষ্ট নয়!",politics,negative
এগুলা বাদ দিয়ে তিন দিন অবরোধ হরতাল দেন সব ঠিক হয়ে যাবে।,politics,neutral
"এই শয়তানটার জন্যই বিশ্ব আজ অশান্ত,,,,,,,,,,,",other,negative
আমার মনে হয় ড.ইউনুস সাহেব দান করেছেন,other,positive
শেখ মুজিবুর রহমান সাহেব কি তাহলে ভূল করেছিলেন যা এখন ধরা পড়েছে?,politics,negative
তারেক রহমানের বিরুদ্ধে মিথ্যা মামলা প্রত্যাহার করুন,politics,positive
সামীম সাহেব নিজেই তো মাদক সেবন করে,other,negative
শালাদের কুকুরের মত মার।,other,negative
আমি এক গৃহযুদ্ধের মুখোমুখি দাঁড়িয়ে আছি,politics,negative
ক্ষতি কি আমরা কি হয়ে যাবো??,other,negative
তারকা তো অর্থের লোভে কত কিছুই করে আর লীগ তারা না করিলে মানুষে করবে।,politics,negative
ভাই সব বাদ দেন আমাদের একটা মেসি আছে যে কিনা ম্যাচ যেকোনো সময় ঘুরিয়ে দিবে..!!,sports,neutral
জনগণটা কে,politics,neutral
জামাতের লোকেরা প্রকৃত দেশেপ্রেমিক,politics,positive
বাংলাদেশ দলের প্রতিপক্ষ কারা ছিলো?,sports,neutral
গন ধর্ষনের ফসল।এচই টি ইমাম যা জারজ লীগের চামচা।,politics,negative
